  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: citeseer | #Nodes: 3327 | #Edges: 12431 | #Classes: 6 |#Features: 3703
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.7810 | Acc(train) 0.1884 | Acc(val) 0.2349 |*
Epoch 00002 | Loss(train) 1.7766 | Acc(train) 0.1563 | Acc(val) 0.2892 |*
Epoch 00003 | Loss(train) 1.7735 | Acc(train) 0.1703 | Acc(val) 0.2831 |
Epoch 00004 | Loss(train) 1.7689 | Acc(train) 0.1784 | Acc(val) 0.3554 |*
Epoch 00005 | Loss(train) 1.7691 | Acc(train) 0.1703 | Acc(val) 0.2470 |
Epoch 00006 | Loss(train) 1.7614 | Acc(train) 0.2365 | Acc(val) 0.2470 |
Epoch 00007 | Loss(train) 1.7544 | Acc(train) 0.2625 | Acc(val) 0.2470 |
Epoch 00008 | Loss(train) 1.7629 | Acc(train) 0.2124 | Acc(val) 0.2470 |
Epoch 00009 | Loss(train) 1.7497 | Acc(train) 0.2244 | Acc(val) 0.2470 |
Epoch 00010 | Loss(train) 1.7505 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00011 | Loss(train) 1.7399 | Acc(train) 0.2425 | Acc(val) 0.2470 |
Epoch 00012 | Loss(train) 1.7536 | Acc(train) 0.2224 | Acc(val) 0.2470 |
Epoch 00013 | Loss(train) 1.7437 | Acc(train) 0.2325 | Acc(val) 0.2470 |
Epoch 00014 | Loss(train) 1.7368 | Acc(train) 0.2405 | Acc(val) 0.2470 |
Epoch 00015 | Loss(train) 1.7381 | Acc(train) 0.2224 | Acc(val) 0.2470 |
Epoch 00016 | Loss(train) 1.7377 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00017 | Loss(train) 1.7348 | Acc(train) 0.2184 | Acc(val) 0.2470 |
Epoch 00018 | Loss(train) 1.7462 | Acc(train) 0.2305 | Acc(val) 0.2470 |
Epoch 00019 | Loss(train) 1.7529 | Acc(train) 0.2365 | Acc(val) 0.2470 |
Epoch 00020 | Loss(train) 1.7387 | Acc(train) 0.2285 | Acc(val) 0.2470 |
