/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Debug: Dataset computers train_idx: 2007, val_idx: 669, test_idx: 10705
Debug: Dataset computers train_idx: 10, val_idx: 10, test_idx: 10
Dataset: computers | #Nodes: 13381 | #Edges: 491556 | #Classes: 10 |#Features: 767
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 2.4008 | Acc(train) 0.0767 | Acc(val) 0.3543 |*
Epoch 00002 | Loss(train) 2.7938 | Acc(train) 0.2960 | Acc(val) 0.3558 |*
Epoch 00003 | Loss(train) 2.1685 | Acc(train) 0.2501 | Acc(val) 0.1749 |
Epoch 00004 | Loss(train) 2.1484 | Acc(train) 0.1973 | Acc(val) 0.3229 |
Epoch 00005 | Loss(train) 2.1562 | Acc(train) 0.2686 | Acc(val) 0.3558 |
Epoch 00006 | Loss(train) 2.0862 | Acc(train) 0.3109 | Acc(val) 0.3513 |
Epoch 00007 | Loss(train) 2.0434 | Acc(train) 0.3513 | Acc(val) 0.3543 |
Epoch 00008 | Loss(train) 2.0568 | Acc(train) 0.3403 | Acc(val) 0.3528 |
Epoch 00009 | Loss(train) 2.0021 | Acc(train) 0.3468 | Acc(val) 0.3677 |*
Epoch 00010 | Loss(train) 2.0010 | Acc(train) 0.3508 | Acc(val) 0.3782 |*
Epoch 00011 | Loss(train) 1.9655 | Acc(train) 0.3458 | Acc(val) 0.3692 |
Epoch 00012 | Loss(train) 1.9325 | Acc(train) 0.3528 | Acc(val) 0.3572 |
Epoch 00013 | Loss(train) 1.8947 | Acc(train) 0.3642 | Acc(val) 0.3572 |
Epoch 00014 | Loss(train) 1.9263 | Acc(train) 0.3647 | Acc(val) 0.3587 |
Epoch 00015 | Loss(train) 1.8850 | Acc(train) 0.3757 | Acc(val) 0.3677 |
Epoch 00016 | Loss(train) 1.8623 | Acc(train) 0.3762 | Acc(val) 0.3677 |
Epoch 00017 | Loss(train) 1.8005 | Acc(train) 0.3881 | Acc(val) 0.3587 |
Epoch 00018 | Loss(train) 1.8006 | Acc(train) 0.3857 | Acc(val) 0.3558 |
Epoch 00019 | Loss(train) 1.8089 | Acc(train) 0.3901 | Acc(val) 0.3543 |
