/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Dataset: cora-full | #Nodes: 18800 | #Edges: 144170 | #Classes: 70 |#Features: 8710
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 4.2466 | Acc(train) 0.0218 | Acc(val) 0.1691 |*
Epoch 00002 | Loss(train) 4.2081 | Acc(train) 0.1056 | Acc(val) 0.1766 |*
Epoch 00003 | Loss(train) 4.1599 | Acc(train) 0.1519 | Acc(val) 0.1952 |*
Epoch 00004 | Loss(train) 4.0930 | Acc(train) 0.1588 | Acc(val) 0.2085 |*
Epoch 00005 | Loss(train) 4.0136 | Acc(train) 0.1689 | Acc(val) 0.2229 |*
Epoch 00006 | Loss(train) 3.9304 | Acc(train) 0.1824 | Acc(val) 0.2330 |*
Epoch 00007 | Loss(train) 3.8705 | Acc(train) 0.1705 | Acc(val) 0.2319 |
Epoch 00008 | Loss(train) 3.8183 | Acc(train) 0.1809 | Acc(val) 0.2138 |
Epoch 00009 | Loss(train) 3.7433 | Acc(train) 0.1819 | Acc(val) 0.1835 |
Epoch 00010 | Loss(train) 3.6972 | Acc(train) 0.1715 | Acc(val) 0.1809 |
Epoch 00011 | Loss(train) 3.6336 | Acc(train) 0.1729 | Acc(val) 0.1904 |
Epoch 00012 | Loss(train) 3.5753 | Acc(train) 0.1806 | Acc(val) 0.2213 |
Epoch 00013 | Loss(train) 3.4961 | Acc(train) 0.2093 | Acc(val) 0.2654 |*
Epoch 00014 | Loss(train) 3.4386 | Acc(train) 0.2428 | Acc(val) 0.3170 |*
Epoch 00015 | Loss(train) 3.3629 | Acc(train) 0.2694 | Acc(val) 0.3606 |*
Epoch 00016 | Loss(train) 3.3020 | Acc(train) 0.2856 | Acc(val) 0.3883 |*
Epoch 00017 | Loss(train) 3.2659 | Acc(train) 0.2926 | Acc(val) 0.4144 |*
Epoch 00018 | Loss(train) 3.2039 | Acc(train) 0.3154 | Acc(val) 0.4229 |*
Epoch 00019 | Loss(train) 3.1635 | Acc(train) 0.3104 | Acc(val) 0.4218 |
Epoch 00020 | Loss(train) 3.0873 | Acc(train) 0.3149 | Acc(val) 0.4197 |
