/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
/root/WATS/model/calibrator.py:322: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:274.)
  torch.tensor([L.row, L.col]),
Debug: Dataset cora-full train_idx: 2820, val_idx: 940, test_idx: 15040
Debug: Dataset cora-full train_idx: 10, val_idx: 10, test_idx: 10
Dataset: cora-full | #Nodes: 18800 | #Edges: 144170 | #Classes: 70 |#Features: 8710
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 4.2415 | Acc(train) 0.0238 | Acc(val) 0.0340 |*
Epoch 00002 | Loss(train) 4.2424 | Acc(train) 0.0415 | Acc(val) 0.0500 |*
Epoch 00003 | Loss(train) 4.2168 | Acc(train) 0.0397 | Acc(val) 0.0596 |*
Epoch 00004 | Loss(train) 4.1992 | Acc(train) 0.0394 | Acc(val) 0.0702 |*
Epoch 00005 | Loss(train) 4.1808 | Acc(train) 0.0422 | Acc(val) 0.0755 |*
Epoch 00006 | Loss(train) 4.1589 | Acc(train) 0.0422 | Acc(val) 0.0883 |*
Epoch 00007 | Loss(train) 4.1403 | Acc(train) 0.0408 | Acc(val) 0.0957 |*
Epoch 00008 | Loss(train) 4.1157 | Acc(train) 0.0436 | Acc(val) 0.1202 |*
Epoch 00009 | Loss(train) 4.0746 | Acc(train) 0.0447 | Acc(val) 0.1266 |*
Epoch 00010 | Loss(train) 4.0672 | Acc(train) 0.0443 | Acc(val) 0.0957 |
Epoch 00011 | Loss(train) 4.0542 | Acc(train) 0.0528 | Acc(val) 0.0585 |
Epoch 00012 | Loss(train) 4.0314 | Acc(train) 0.0589 | Acc(val) 0.0447 |
Epoch 00013 | Loss(train) 4.0462 | Acc(train) 0.0525 | Acc(val) 0.0447 |
Epoch 00014 | Loss(train) 4.0619 | Acc(train) 0.0567 | Acc(val) 0.0447 |
Epoch 00015 | Loss(train) 4.0211 | Acc(train) 0.0560 | Acc(val) 0.0532 |
Epoch 00016 | Loss(train) 4.0005 | Acc(train) 0.0596 | Acc(val) 0.0606 |
