  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: cora | #Nodes: 2708 | #Edges: 13264 | #Classes: 7 |#Features: 1433
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.9456 | Acc(train) 0.1158 | Acc(val) 0.1407 |*
Epoch 00002 | Loss(train) 1.9388 | Acc(train) 0.1232 | Acc(val) 0.1185 |
Epoch 00003 | Loss(train) 1.9324 | Acc(train) 0.1453 | Acc(val) 0.1407 |
Epoch 00004 | Loss(train) 1.9265 | Acc(train) 0.2315 | Acc(val) 0.2889 |*
Epoch 00005 | Loss(train) 1.9190 | Acc(train) 0.2562 | Acc(val) 0.2889 |
Epoch 00006 | Loss(train) 1.9162 | Acc(train) 0.2857 | Acc(val) 0.2889 |
Epoch 00007 | Loss(train) 1.9055 | Acc(train) 0.2734 | Acc(val) 0.2889 |
Epoch 00008 | Loss(train) 1.9063 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00009 | Loss(train) 1.8994 | Acc(train) 0.2759 | Acc(val) 0.2889 |
Epoch 00010 | Loss(train) 1.8928 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00011 | Loss(train) 1.8838 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00012 | Loss(train) 1.8807 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00013 | Loss(train) 1.8765 | Acc(train) 0.2759 | Acc(val) 0.2889 |
Epoch 00014 | Loss(train) 1.8701 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00015 | Loss(train) 1.8733 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00016 | Loss(train) 1.8575 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00017 | Loss(train) 1.8534 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00018 | Loss(train) 1.8517 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00019 | Loss(train) 1.8552 | Acc(train) 0.2759 | Acc(val) 0.2889 |
Epoch 00020 | Loss(train) 1.8571 | Acc(train) 0.2783 | Acc(val) 0.2889 |
