  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: cora | #Nodes: 2708 | #Edges: 13264 | #Classes: 7 |#Features: 1433
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.9467 | Acc(train) 0.1405 | Acc(val) 0.2989 |*
Epoch 00002 | Loss(train) 1.9377 | Acc(train) 0.2957 | Acc(val) 0.2989 |
Epoch 00003 | Loss(train) 1.9294 | Acc(train) 0.2828 | Acc(val) 0.2989 |
Epoch 00004 | Loss(train) 1.9188 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00005 | Loss(train) 1.9099 | Acc(train) 0.2847 | Acc(val) 0.2989 |
Epoch 00006 | Loss(train) 1.8987 | Acc(train) 0.2847 | Acc(val) 0.2989 |
Epoch 00007 | Loss(train) 1.8861 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00008 | Loss(train) 1.8751 | Acc(train) 0.2847 | Acc(val) 0.2989 |
Epoch 00009 | Loss(train) 1.8690 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00010 | Loss(train) 1.8562 | Acc(train) 0.2865 | Acc(val) 0.2989 |
Epoch 00011 | Loss(train) 1.8424 | Acc(train) 0.2828 | Acc(val) 0.2989 |
Epoch 00012 | Loss(train) 1.8284 | Acc(train) 0.2810 | Acc(val) 0.2989 |
Epoch 00013 | Loss(train) 1.8235 | Acc(train) 0.2847 | Acc(val) 0.2989 |
Epoch 00014 | Loss(train) 1.8125 | Acc(train) 0.2865 | Acc(val) 0.2989 |
Epoch 00015 | Loss(train) 1.7964 | Acc(train) 0.2865 | Acc(val) 0.2989 |
Epoch 00016 | Loss(train) 1.7922 | Acc(train) 0.2921 | Acc(val) 0.2989 |
Epoch 00017 | Loss(train) 1.7779 | Acc(train) 0.2828 | Acc(val) 0.2989 |
Epoch 00018 | Loss(train) 1.7657 | Acc(train) 0.2884 | Acc(val) 0.2989 |
Epoch 00019 | Loss(train) 1.7523 | Acc(train) 0.2865 | Acc(val) 0.2989 |
Epoch 00020 | Loss(train) 1.7354 | Acc(train) 0.2902 | Acc(val) 0.3026 |*
