/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Debug: Dataset photo train_idx: 1123, val_idx: 374, test_idx: 5990
Debug: Dataset photo train_idx: 10, val_idx: 10, test_idx: 10
Dataset: photo | #Nodes: 7487 | #Edges: 238087 | #Classes: 8 |#Features: 745
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 2.0940 | Acc(train) 0.1202 | Acc(val) 0.2941 |*
Epoch 00002 | Loss(train) 2.6231 | Acc(train) 0.2208 | Acc(val) 0.2701 |
Epoch 00003 | Loss(train) 2.0112 | Acc(train) 0.2057 | Acc(val) 0.2727 |
Epoch 00004 | Loss(train) 2.0324 | Acc(train) 0.1692 | Acc(val) 0.1096 |
Epoch 00005 | Loss(train) 2.0595 | Acc(train) 0.1443 | Acc(val) 0.1123 |
Epoch 00006 | Loss(train) 2.0527 | Acc(train) 0.1460 | Acc(val) 0.2193 |
Epoch 00007 | Loss(train) 2.0278 | Acc(train) 0.1790 | Acc(val) 0.4358 |*
Epoch 00008 | Loss(train) 2.0027 | Acc(train) 0.1834 | Acc(val) 0.4813 |*
Epoch 00009 | Loss(train) 1.9795 | Acc(train) 0.1861 | Acc(val) 0.4519 |
Epoch 00010 | Loss(train) 1.9405 | Acc(train) 0.2315 | Acc(val) 0.4251 |
Epoch 00011 | Loss(train) 1.9288 | Acc(train) 0.2618 | Acc(val) 0.4118 |
Epoch 00012 | Loss(train) 1.9175 | Acc(train) 0.2823 | Acc(val) 0.4358 |
Epoch 00013 | Loss(train) 1.9160 | Acc(train) 0.2903 | Acc(val) 0.4572 |
Epoch 00014 | Loss(train) 1.8726 | Acc(train) 0.3019 | Acc(val) 0.4599 |
Epoch 00015 | Loss(train) 1.8834 | Acc(train) 0.3134 | Acc(val) 0.4599 |
Epoch 00016 | Loss(train) 1.8652 | Acc(train) 0.3099 | Acc(val) 0.4572 |
Epoch 00017 | Loss(train) 1.8418 | Acc(train) 0.3143 | Acc(val) 0.4920 |*
Epoch 00018 | Loss(train) 1.7938 | Acc(train) 0.3500 | Acc(val) 0.5588 |*
Epoch 00019 | Loss(train) 1.7644 | Acc(train) 0.3776 | Acc(val) 0.5722 |*
