  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: pubmed | #Nodes: 19717 | #Edges: 108365 | #Classes: 3 |#Features: 500
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.1114 | Acc(train) 0.2022 | Acc(val) 0.2170 |*
Epoch 00002 | Loss(train) 1.1061 | Acc(train) 0.2107 | Acc(val) 0.2495 |*
Epoch 00003 | Loss(train) 1.1014 | Acc(train) 0.2851 | Acc(val) 0.3945 |*
Epoch 00004 | Loss(train) 1.0971 | Acc(train) 0.3666 | Acc(val) 0.3945 |
Epoch 00005 | Loss(train) 1.0941 | Acc(train) 0.4082 | Acc(val) 0.3945 |
Epoch 00006 | Loss(train) 1.0902 | Acc(train) 0.4156 | Acc(val) 0.3945 |
Epoch 00007 | Loss(train) 1.0851 | Acc(train) 0.4160 | Acc(val) 0.3945 |
Epoch 00008 | Loss(train) 1.0817 | Acc(train) 0.4292 | Acc(val) 0.3945 |
Epoch 00009 | Loss(train) 1.0769 | Acc(train) 0.4248 | Acc(val) 0.3945 |
Epoch 00010 | Loss(train) 1.0733 | Acc(train) 0.4210 | Acc(val) 0.3945 |
Epoch 00011 | Loss(train) 1.0700 | Acc(train) 0.4177 | Acc(val) 0.3945 |
Epoch 00012 | Loss(train) 1.0652 | Acc(train) 0.4237 | Acc(val) 0.3945 |
Epoch 00013 | Loss(train) 1.0631 | Acc(train) 0.4315 | Acc(val) 0.3945 |
Epoch 00014 | Loss(train) 1.0599 | Acc(train) 0.4315 | Acc(val) 0.3945 |
Epoch 00015 | Loss(train) 1.0578 | Acc(train) 0.4220 | Acc(val) 0.3945 |
Epoch 00016 | Loss(train) 1.0534 | Acc(train) 0.4464 | Acc(val) 0.3945 |
Epoch 00017 | Loss(train) 1.0493 | Acc(train) 0.4491 | Acc(val) 0.3976 |*
Epoch 00018 | Loss(train) 1.0466 | Acc(train) 0.4410 | Acc(val) 0.4047 |*
Epoch 00019 | Loss(train) 1.0488 | Acc(train) 0.4312 | Acc(val) 0.4209 |*
Epoch 00020 | Loss(train) 1.0494 | Acc(train) 0.4278 | Acc(val) 0.4696 |*
