  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: pubmed | #Nodes: 19717 | #Edges: 108365 | #Classes: 3 |#Features: 500
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.0986 | Acc(train) 0.3642 | Acc(val) 0.4133 |*
Epoch 00002 | Loss(train) 1.0903 | Acc(train) 0.4043 | Acc(val) 0.4133 |
Epoch 00003 | Loss(train) 1.0826 | Acc(train) 0.4045 | Acc(val) 0.4133 |
Epoch 00004 | Loss(train) 1.0739 | Acc(train) 0.4043 | Acc(val) 0.4133 |
Epoch 00005 | Loss(train) 1.0652 | Acc(train) 0.4043 | Acc(val) 0.4133 |
Epoch 00006 | Loss(train) 1.0581 | Acc(train) 0.4043 | Acc(val) 0.4133 |
Epoch 00007 | Loss(train) 1.0508 | Acc(train) 0.4043 | Acc(val) 0.4133 |
Epoch 00008 | Loss(train) 1.0432 | Acc(train) 0.4040 | Acc(val) 0.4133 |
Epoch 00009 | Loss(train) 1.0362 | Acc(train) 0.4045 | Acc(val) 0.4133 |
Epoch 00010 | Loss(train) 1.0283 | Acc(train) 0.4058 | Acc(val) 0.4133 |
Epoch 00011 | Loss(train) 1.0232 | Acc(train) 0.4078 | Acc(val) 0.4133 |
Epoch 00012 | Loss(train) 1.0160 | Acc(train) 0.4106 | Acc(val) 0.4133 |
Epoch 00013 | Loss(train) 1.0076 | Acc(train) 0.4152 | Acc(val) 0.4148 |*
Epoch 00014 | Loss(train) 1.0043 | Acc(train) 0.4169 | Acc(val) 0.4184 |*
Epoch 00015 | Loss(train) 0.9958 | Acc(train) 0.4192 | Acc(val) 0.4275 |*
Epoch 00016 | Loss(train) 0.9875 | Acc(train) 0.4410 | Acc(val) 0.4539 |*
Epoch 00017 | Loss(train) 0.9787 | Acc(train) 0.4684 | Acc(val) 0.4934 |*
Epoch 00018 | Loss(train) 0.9709 | Acc(train) 0.4864 | Acc(val) 0.5370 |*
Epoch 00019 | Loss(train) 0.9652 | Acc(train) 0.5181 | Acc(val) 0.5761 |*
Epoch 00020 | Loss(train) 0.9585 | Acc(train) 0.5222 | Acc(val) 0.6116 |*
